'RieszEuclidean.exponential_eq_phase' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.exponential_sub_le_on_ball' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.riesz_frequencies_separated' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.exists_schwartz_bump' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.bump_toLp_ne_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.exists_normalized_schwartz_bump' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.inverseFourier_exponential' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.bump_norm_eq_re' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.bump_fourier_near_mass' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.bump_fourier_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.bump_fourier_lower_on_ball' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.bump_integral_re_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.exists_bump_fourier_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.bump_translates_disjoint' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.translated_bump_coe' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.translated_bumps_orthonormal' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.orthonormalSynthesis' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.orthonormalSynthesis_single' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.bumpSynthesis' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.isometryRangeProjection' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.isometryRangeProjection_range' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.l2Multiplier' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.l2Multiplier_coe' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.l2Multiplier_norm_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.l2MultiplierLM' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.l2MultiplierCLM' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.l2Multiplier_inv_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.l2MultiplierEquiv' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.inverseFourier_translate' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.paperFourierL2_translated_bump' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.l2MultiplierEquiv_coe' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.bumpFourierMultiplier' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.domainRestriction' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.domainRestriction_coe' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.domainRestriction_norm_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.domainRestrictionLM' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.domainRestrictionCLM' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.bumpFourierMultiplier_coe' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.bump_synthesis_coordinate' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.seqL2_ext_on_single' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.bump_synthesis_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.domainExtension' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.domainExtension_coe' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.domainExtension_norm' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.domainRestriction_extension' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.domainExtension_restriction' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.domainExtensionLI' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.domainExtension_range' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.fourierDomainEmbedding' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.fourierDomainEmbedding_range' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.fourierDomainEmbedding_restriction' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.isometryRangeEquiv' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.isometryRangeEquiv_coe' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.rangeIso_of_synthesis' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.initial_bump_gap' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.exists_initial_bump_gap' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.Separated.finite_inter_compact' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.Separated.countable' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.Separated.isClosed' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.compact_uniform_separated_count' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.WeaklyConverges.moving_translate' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.configurationMeasure' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.configurationMeasure_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.configurationMeasure_compact_lt_top' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.configurationMeasure_finiteOnCompacts' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.configurationMeasure_eq_encard' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.configurationMeasure_eq_ncard' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.configurationMeasure_uniform_compact_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.compactRestriction' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.compactRestriction_subsequence' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.compactRestrictions_diagonal' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.WeaklyConverges.mem_of_tendsto' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.hausdorff_eventually_matching' depends on axioms: [propext, Classical.choice, Quot.sound]
